SciName,SpeciesCat
Adelomelon ancilla,58
Allocyttus niger,34
Ammodytes personatus,33
Anadara antiquat,56
Anadara similis,56
Anadara tuberculos,56
Anchovies spp,35
Anguilla anguilla,22
Anodontostoma chacunda,24
Anoplopoma fimbria,34
Arctoscopus japonicus,34
Argobuccinum argus,52
Argobuccinum spp,52
Argopecten purpuratus,55
Astraea turbanica,58
Astraea undosa,58
Atherinidae,37
Athyionidium chilensis,77
Atrina tuberculosa,55
Aulacomya ater,54
Austromegabalanus psittacus,47
Balistes polylepis,33
Birgus latro,44
Brama australis,37
Callinectes bellicosus,42
Callinectes sapidus,42
Callista chione,56
Calyptraea trochiformis,58
Cancer coronatus,42
Cancer setosus,42
Centroberyx gerrardi,34
Centropomidae,33
Chamelea gallina,56
Chionoecetes bairdi,42
Chionoecetes japonicus,42
Chionoecetes opilio,42
Chionoecetes opilio,42
Chlamys vitrea,55
Chondracanthus chamissoi,92
Choromytilus chorus,54
Chorus giganteus,52
Chrysophrys auratus,33
Chrysophrys auratus,33
Clam spp,56
Clam spp,56
Clam spp,56
Clam spp,56
Cololabis saira,37
Concholepas concholepas,52
Conger conger,34
Crassostrea gigas,53
Cypraea tigris,58
Dentex dentex,33
Dicentrarchus labrax,33
Dicentrarchus labrax,33
Diplodus spp,33
Dissostichus eleginoides,34
Donax trunculus,56
Engraulis ringens,35
Ensis macha,56
Ensis minor,57
Enteroctopus megalocyathus,57
Eopsetta jordani,31
Epigonus telescopus,34
Epinephelus flavolimbatus,33
Epinephelus morio,33
Fissurella bridgesii,58
Fissurella costata,58
Fissurella cumingi,58
Fissurella latimarginata,58
Fissurella maxima,58
Fissurella nigra,58
Fissurella picta,58
Fissurella pulchra,58
Fissurella spp,58
Gadus macrocephalus,32
Gari solida,56
Genypterus blacodes,34
Genypterus blacodes,34
Gerres filamentosus,33
Gigartina skottsbergii,92
Glossogobius giuris,13
Gracilaria chilensis,92
Haliotis corrugata,52
Haliotis discus,52
Haliotis fulgens,52
Haliotis ruber,52
Haliotis rufescens,52
Haliotis spp,52
Hippoglossoides elassodon,31
Holothurian,58
Homalaspis plana,42
Hoplostethus atlanticus,34
Hyperoglyphe antarctica,34
