BvBmsy,FvFmsy,i_rights
2.49,0.065,ITQ
2.28,0.12,ITQ
2.11,0.077,ITQ
2.11,0.125,ITQ
2.2,0.135,ITQ
2.2,0.2,ITQ
2.11,0.19,ITQ
2.01,0.354,ITQ
1.92,0.557,ITQ
1.93,0.455,ITQ
2.08,0.466,ITQ
2.22,0.47,ITQ
2.46,0.587,ITQ
2.5,0.407,ITQ
2.5,0.441,ITQ
2.38,0.426,ITQ
2.29,0.399,ITQ
2.14,0.517,ITQ
1.91,0.942,ITQ
1.76,1.14,ITQ
2.02,1.5,ITQ
2.46,1.12,ITQ
2.5,1.02,ITQ
2.5,0.978,ITQ
2.5,0.947,ITQ
2.5,0.796,ITQ
2.24,0.627,ITQ
2.04,0.571,ITQ
2.16,0.469,ITQ
2.19,0.574,ITQ
2.06,0.505,ITQ
1.95,0.687,ITQ
1.72,0.778,ITQ
1.72,0.778,ITQ
0.67,0.462,No ITQ
0.671,0.286,No ITQ
0.713,0.241,No ITQ
0.744,0.321,No ITQ
0.742,0.4,No ITQ
0.742,0.372,No ITQ
0.761,0.241,No ITQ
0.797,0.279,No ITQ
0.825,0.179,No ITQ
0.901,0.131,No ITQ
1,0.117,No ITQ
1.07,0.072,No ITQ
1.14,0.276,No ITQ
1.19,0.097,No ITQ
1.28,0.159,No ITQ
1.39,0.255,No ITQ
1.53,0.11,No ITQ
1.69,0.09,No ITQ
1.81,0.124,No ITQ
1.87,0.076,No ITQ
1.92,0.114,No ITQ
1.94,0.076,No ITQ
1.95,0.114,No ITQ
1.95,0.079,No ITQ
2,0.097,No ITQ
2.06,0.103,No ITQ
2.12,0.083,No ITQ
2.24,0.09,No ITQ
2.37,0.117,No ITQ
2.46,0.086,No ITQ
2.5,0.079,No ITQ
2.5,0.062,No ITQ
2.5,0.086,No ITQ
2.5,0.09,No ITQ
2.5,0.09,No ITQ
2.5,0.09,No ITQ
2.5,0.09,No ITQ
0.889,0.472,ITQ
0.9,0.538,ITQ
0.987,0.327,ITQ
1.17,0.222,ITQ
1.71,0.16,ITQ
1.79,0.141,ITQ
1.71,0.09,ITQ
1.54,0.297,ITQ
1.27,0.355,ITQ
1.06,0.361,ITQ
1.05,0.259,ITQ
1.09,0.231,ITQ
1.19,0.141,ITQ
1.37,0.122,ITQ
1.58,0.186,ITQ
2.03,0.205,ITQ
2.04,0.442,ITQ
1.8,0.545,ITQ
1.63,0.827,ITQ
1.49,1.09,ITQ
1.26,0.675,ITQ
1.19,0.812,ITQ
1.31,0.603,ITQ
1.18,0.511,ITQ
1.12,0.675,ITQ
1.41,0.479,ITQ
1.97,0.455,ITQ
2.31,0.417,ITQ
2.46,0.408,ITQ
2.15,0.44,ITQ
1.87,0.412,ITQ
1.71,0.481,ITQ
1.56,0.671,ITQ
1.56,0.671,ITQ
1.56,0.671,ITQ
1.56,0.671,ITQ
2.5,0.28,No ITQ
2.5,1.13,No ITQ
1.83,0.87,No ITQ
1.24,0.499,No ITQ
0.53,0.184,No ITQ
0.27,1.05,No ITQ
0.306,0.256,No ITQ
0.568,0.77,No ITQ
0.151,0,No ITQ
0.218,0,No ITQ
0.665,0,No ITQ
0.948,0,No ITQ
0.988,0,No ITQ
0.941,0,No ITQ
0.672,0,No ITQ
1.78,0.418,No ITQ
1.07,0.339,No ITQ
0.658,0.328,No ITQ
0.727,0.356,No ITQ
0.402,0,No ITQ
0.446,0,No ITQ
0.342,0,No ITQ
0.147,0,No ITQ
0.144,0,No ITQ
0.031,0,No ITQ
0.082,0,No ITQ
0.042,0,No ITQ
0.082,0,No ITQ
0.082,0,No ITQ
0.082,0,No ITQ
0.082,0,No ITQ
0.082,0,No ITQ
0.598,0.368,No ITQ
0.57,0.236,No ITQ
0.554,0.282,No ITQ
0.544,0.476,No ITQ
0.534,0.579,No ITQ
0.532,0.583,No ITQ
0.543,0.619,No ITQ
0.564,0.445,No ITQ
0.604,0.1,No ITQ
0.669,0.066,No ITQ
0.741,0.061,No ITQ
0.815,0.445,No ITQ
0.86,0.566,No ITQ
0.889,0.496,No ITQ
0.918,0.548,No ITQ
0.94,1.2,No ITQ
0.922,1.15,No ITQ
0.923,1.14,No ITQ
0.945,1.01,No ITQ
0.99,0.789,No ITQ
1.06,0.725,No ITQ
1.14,0.776,No ITQ
1.2,1.1,No ITQ
1.22,0.963,No ITQ
1.25,0.758,No ITQ
1.3,0.816,No ITQ
1.35,0.662,No ITQ
1.4,0.576,No ITQ
1.47,0.469,No ITQ
1.54,0.463,No ITQ
1.59,0.654,No ITQ
1.61,0.68,No ITQ
1.59,0.546,No ITQ
1.59,0.546,No ITQ
1.59,0.546,No ITQ
1.59,0.546,No ITQ
0.186,0.791,ITQ
0.167,0.715,ITQ
0.158,0.416,ITQ
0.166,0.402,ITQ
0.194,0.294,ITQ
0.264,0.185,ITQ
0.395,0.161,ITQ
0.583,0.108,ITQ
0.785,0.111,ITQ
0.978,0.086,ITQ
1.16,0.05,ITQ
1.35,0.082,ITQ
1.55,0.038,ITQ
1.78,0.196,ITQ
1.96,0.127,ITQ
2.12,0.119,ITQ
2.25,0.105,ITQ
2.4,0.125,ITQ
2.5,0.103,ITQ
2.5,0.119,ITQ
2.5,0.141,ITQ
2.5,0.171,ITQ
2.5,0.131,ITQ
2.5,0.147,ITQ
2.5,0.131,ITQ
2.44,0.118,ITQ
2.35,0.111,ITQ
2.27,0.14,ITQ
2.19,0.133,ITQ
2.14,0.151,ITQ
2.1,0.16,ITQ
2.07,0.212,ITQ
2.04,0.169,ITQ
2.04,0.166,ITQ
2.04,0.166,ITQ
2.04,0.166,ITQ
2.5,0.068,No ITQ
2.5,0.284,No ITQ
2.5,0.632,No ITQ
2.5,1.25,No ITQ
2.5,2.09,No ITQ
2.34,1.39,No ITQ
2.06,0.918,No ITQ
1.87,0.833,No ITQ
1.72,0.649,No ITQ
1.6,0.425,No ITQ
1.52,0.776,No ITQ
1.42,0.834,No ITQ
1.32,0.646,No ITQ
1.25,0.614,No ITQ
1.19,0.629,No ITQ
1.14,0.577,No ITQ
1.11,0.155,No ITQ
1.12,0.127,No ITQ
1.15,0.143,No ITQ
1.18,0.164,No ITQ
1.23,0.293,No ITQ
1.28,0.774,No ITQ
1.29,0.705,No ITQ
1.32,0.18,No ITQ
1.4,0.029,No ITQ
1.51,0.035,No ITQ
1.63,0.064,No ITQ
1.76,0.142,No ITQ
1.88,0.19,No ITQ
1.99,0.206,No ITQ
2.09,0.526,No ITQ
2.14,0.898,No ITQ
2.12,0.56,No ITQ
2.13,0.692,No ITQ
2.12,0.669,No ITQ
2.1,0.409,No ITQ
2.11,0.365,No ITQ
2.12,0.387,No ITQ
2.11,0.708,No ITQ
2.05,0.453,No ITQ
2.01,0.439,No ITQ
1.98,0.468,No ITQ
1.95,0.741,No ITQ
1.89,0.66,No ITQ
1.85,0.668,No ITQ
1.81,0.698,No ITQ
1.77,0.602,No ITQ
1.75,0.601,No ITQ
1.72,0.596,No ITQ
1.62,0.364,No ITQ
1.62,0.364,No ITQ
1.62,0.364,No ITQ
0.212,1.15,ITQ
0.223,1.46,ITQ
0.255,1.08,ITQ
0.321,2.08,ITQ
0.4,0.192,ITQ
0.461,0.154,ITQ
0.495,0.115,ITQ
0.513,0.192,ITQ
0.539,0.231,ITQ
0.573,0.615,ITQ
0.569,0.192,ITQ
0.634,0.192,ITQ
0.703,0.308,ITQ
0.784,0.615,ITQ
0.847,0.462,ITQ
0.961,0.192,ITQ
1.15,0.423,ITQ
1.22,0.423,ITQ
1.28,0.423,ITQ
1.35,0.423,ITQ
1.64,0.385,ITQ
2.02,0.308,ITQ
2.36,0.346,ITQ
2.5,0.154,ITQ
2.5,0.154,ITQ
2.5,0.192,ITQ
2.5,0.077,ITQ
2.5,0.115,ITQ
2.5,0.115,ITQ
2.5,0.154,ITQ
2.36,0.115,ITQ
2.12,0.154,ITQ
2,0.154,ITQ
1.93,0.231,ITQ
1.93,0.192,ITQ
2.02,0.231,ITQ
2.17,0.231,ITQ
2.33,0.231,ITQ
0.546,0.238,ITQ
0.604,0.274,ITQ
0.696,0.194,ITQ
0.879,0.165,ITQ
1.23,0.15,ITQ
1.75,0.118,ITQ
2.24,0.165,ITQ
2.5,0.221,ITQ
2.49,0.282,ITQ
2.36,0.271,ITQ
2.28,0.315,ITQ
2.21,0.421,ITQ
2.09,0.388,ITQ
1.92,0.409,ITQ
1.66,0.638,ITQ
1.34,0.635,ITQ
1.17,0.521,ITQ
1.22,0.612,ITQ
1.24,0.929,ITQ
1.22,0.838,ITQ
1.19,0.95,ITQ
1.1,0.741,ITQ
1.05,0.703,ITQ
1.06,0.656,ITQ
1.17,0.559,ITQ
1.2,0.665,ITQ
1.19,0.715,ITQ
1.17,0.747,ITQ
1.08,0.788,ITQ
0.945,0.856,ITQ
0.831,0.806,ITQ
0.751,0.879,ITQ
0.715,0.932,ITQ
0.789,0.738,ITQ
0.998,0.856,ITQ
1.18,0.774,ITQ
2.5,0.141,No ITQ
2.5,0.135,No ITQ
2.5,0.123,No ITQ
2.5,0.175,No ITQ
2.5,0.101,No ITQ
2.5,0.061,No ITQ
2.5,0.107,No ITQ
2.5,0.152,No ITQ
2.5,0.143,No ITQ
2.5,0.183,No ITQ
2.41,0.361,No ITQ
2.16,0.41,No ITQ
1.9,0.487,No ITQ
1.81,0.357,No ITQ
1.83,0.281,No ITQ
1.95,0.42,No ITQ
1.89,0.42,No ITQ
1.78,0.497,No ITQ
1.61,0.506,No ITQ
1.53,0.612,No ITQ
1.39,0.467,No ITQ
1.37,0.374,No ITQ
1.29,0.433,No ITQ
1.14,0.446,No ITQ
1.1,0.484,No ITQ
1.1,0.388,No ITQ
1.05,0.396,No ITQ
0.994,0.441,No ITQ
0.923,0.501,No ITQ
0.919,0.422,No ITQ
1.03,0.549,No ITQ
1.46,0.57,No ITQ
0.246,1.62,ITQ
0.237,1.21,ITQ
0.232,1.18,ITQ
0.23,0.79,ITQ
0.233,0.748,ITQ
0.24,0.167,ITQ
0.262,0.08,ITQ
0.291,0.097,ITQ
0.331,0.026,ITQ
0.377,0.078,ITQ
0.433,0.157,ITQ
0.502,0.228,ITQ
0.568,0.334,ITQ
0.625,1.03,ITQ
0.688,0.406,ITQ
0.767,0.679,ITQ
0.838,0.764,ITQ
0.908,0.509,ITQ
1.01,0.434,ITQ
1.1,0.609,ITQ
1.17,0.489,ITQ
1.24,0.354,ITQ
1.31,0.425,ITQ
1.35,0.3,ITQ
1.4,0.287,ITQ
1.43,0.333,ITQ
1.45,0.426,ITQ
1.47,0.331,ITQ
1.51,0.279,ITQ
1.55,0.333,ITQ
1.6,0.466,ITQ
1.62,0.444,ITQ
1.64,0.391,ITQ
1.64,0.391,ITQ
1.64,0.391,ITQ
1.64,0.391,ITQ
2.13,0.264,No ITQ
2.39,0.873,No ITQ
2.41,1.54,No ITQ
2.28,2.92,No ITQ
2.11,4.97,No ITQ
1.49,3.3,No ITQ
1.26,2.33,No ITQ
1.19,2.29,No ITQ
1.11,1.89,No ITQ
1.04,1.24,No ITQ
1.08,2.24,No ITQ
0.961,2.47,No ITQ
0.818,2.07,No ITQ
0.724,2.22,No ITQ
0.625,2.77,No ITQ
0.493,3.39,No ITQ
0.353,2.52,No ITQ
0.296,1.06,No ITQ
0.293,1.15,No ITQ
0.284,1.64,No ITQ
