"","Country","assess_id_short","Year.x","CommName","Biomass","Catch","BvBmsy","FvFmsy","Dbase","SciName","IdLevel","SpeciesCat.x","Profits","MSY","Price","g","k","c","phi","itq","ivq","iq","turf"
"1","Albania","1-FAO",2016,"Angelsharks, sand devils nei",264.575,9.961,1.012,0.903,"FAO","Squatinidae","Neis",38,3732.439,10.908,740.373,0.042,32253.533,258629.791,0.188,NA,NA,NA,NA
"2","Albania","10-FAO",2016,"Common cuttlefish",3615.058,294.952,1.668,1.141,"FAO","Sepia officinalis","Species",57,408587.808,155.014,2041.268,0.072,5418.234,5029540.903,0.188,NA,NA,NA,NA
"3","Norway","10000-FAO",2016,"Red king crab",25999.828,471.457,1.118,0.45,"FAO","Paralithodes camtschaticus","Species",44,2536913.454,935.995,7466.679,0.04,58129.431,180582577.1,0.188,NA,NA,NA,NA
"4","Norway","10001-FAO",2016,"Righteye flounders nei",104.156,11.122,0.343,2.611,"FAO","Pleuronectidae","Neis",31,-8406.793,12.411,2019.289,0.04,34067.649,586298.818,0.188,NA,NA,NA,NA
"5","Norway","10012-FAO",2016,"Scallops nei",21.226,3.631,0.316,4,"FAO","Pectinidae","Neis",55,-1135.15,2.876,1435.739,0.041,102922.763,66067.997,0.188,NA,NA,NA,NA
"6","Norway","10013-FAO",2016,"Sea trout",129.178,5.314,1.178,1.003,"FAO","Salmo trutta","Species",23,10724.185,4.494,3589.638,0.041,274.073,528702.282,0.188,NA,NA,NA,NA
"7","Norway","10022-FAO",2010,"Spotted wolffish",111.973,8,1.372,5.198,"FAO","Anarhichas minor","Species",34,5917.684,1.122,1523.126,0.014,204.104,193602.364,0.188,NA,NA,NA,NA
"8","Norway","10027-FAO",2016,"Turbot",538.482,54.31,0.701,2.472,"FAO","Psetta maxima","Species",31,106603.006,31.348,5807.161,0.041,1920.543,4119798.737,0.188,NA,NA,NA,NA
"9","Norway","10033-FAO",2010,"Whelk",73.629,16,0.951,5.083,"FAO","Buccinum undatum","Species",52,5690.637,3.311,1353.429,0.043,193.655,116132.267,0.188,NA,NA,NA,NA
"10","Norway","10037-FAO",2016,"Witch flounder",2306.38,61.49,0.708,2.073,"FAO","Glyptocephalus cynoglossus","Species",31,46966.414,41.901,2019.289,0.013,8144.506,8589714.798,0.188,NA,NA,NA,NA
"11","Norway","10039-FAO",2016,"Wolffishes(=Catfishes) nei",1397.73,15.277,0.691,0.836,"FAO","Anarhichas spp","Neis",34,5706.649,26.432,1271.737,0.013,38603.119,4866227.852,0.188,NA,NA,NA,NA
"12","Oman","10043-FAO",2016,"Abalones nei",345.902,46.538,0.845,0.742,"FAO","Haliotis spp","Neis",52,152593.896,74.252,7417.528,0.161,2443.523,3050875.285,0.188,NA,NA,NA,NA
"13","Oman","10044-FAO",2016,"Anchovies, etc. nei",35773.851,3847.595,0.562,1.65,"FAO","Engraulidae","Neis",35,-217282.992,4147.137,869.746,0.065,471095.617,64741330.44,0.188,NA,NA,NA,NA
"14","Oman","10053-FAO",2016,"Croakers, drums nei",71261.158,8070.637,0.519,2.76,"FAO","Sciaenidae","Neis",33,-3497169.153,5629.023,1254.99,0.041,31988.715,230686219.9,0.188,NA,NA,NA,NA
"15","Oman","10055-FAO",2016,"Emperors(=Scavengers) nei",11762.736,1846.598,0.403,3.734,"FAO","Lethrinidae","Neis",33,-2537388.352,1226.425,1530.914,0.042,3232.324,59929583.27,0.188,NA,NA,NA,NA
"16","Oman","10061-FAO",2016,"Groupers nei",26833.846,3646.51,0.524,3.32,"FAO","Epinephelus spp","Neis",33,-4182046.019,2095.824,2803.109,0.041,8391.131,192966384.6,0.188,NA,NA,NA,NA
"17","Oman","10063-FAO",2016,"Hairtails, scabbardfishes nei",167982.502,22187.859,1.085,1.221,"FAO","Trichiuridae","Neis",34,7606931.937,16741.302,691.549,0.108,44866.638,107359020.9,0.188,NA,NA,NA,NA
"18","Oman","10074-FAO",2016,"Mullets nei",15586.781,2409.309,0.481,3.788,"FAO","Mugilidae","Neis",33,-2208656.728,1323.582,1530.914,0.041,46127.464,66927847.18,0.188,NA,NA,NA,NA
"19","Oman","10076-FAO",2016,"Natantian decapods nei",5149.049,708.35,0.405,3.366,"FAO","Natantia","Neis",45,-900335.671,519.77,3018.868,0.041,40826.228,40356407.56,0.188,NA,NA,NA,NA
"20","Oman","10079-FAO",2016,"Pharaoh cuttlefish",362316.927,17739.529,1.82,0.726,"FAO","Sepia pharaonis","Species",57,15143396.16,13426.996,1149.287,0.067,497761.429,264781200.6,0.188,NA,NA,NA,NA
"21","Oman","10081-FAO",2016,"Porgies, seabreams nei",36163.566,3956.756,0.617,2.683,"FAO","Sparidae","Neis",33,-1164844.794,2392.142,2377.498,0.041,7217.032,187801535.7,0.188,NA,NA,NA,NA
"22","Oman","10084-FAO",2016,"Rays, stingrays, mantas nei",14526.603,1487.068,0.924,2.484,"FAO","Rajiformes","Neis",38,182334.44,647.729,458.16,0.041,4899.687,9643715.887,0.188,NA,NA,NA,NA
"23","Oman","10085-FAO",2016,"Sea catfishes nei",13924.871,1817.582,0.486,3.133,"FAO","Ariidae","Neis",33,-2330072.069,1192.456,2604.929,0.042,15879.326,99933342.05,0.188,NA,NA,NA,NA
"24","Oman","10088-FAO",2016,"Snappers, jobfishes nei",6476.559,874.201,0.511,3.268,"FAO","Lutjanidae","Neis",33,-1088963.757,523.447,2839.754,0.041,9508.468,48304429.29,0.188,NA,NA,NA,NA
"25","Oman","10091-FAO",2016,"Threadfin and dwarf breams nei",27417.647,3652.13,0.846,1.874,"FAO","Nemipteridae","Neis",33,1480978.45,2303.368,1530.914,0.071,139316.778,56447845.97,0.188,NA,NA,NA,NA
"26","Oman","10093-FAO",2016,"Tropical spiny lobsters nei",1600.384,234.566,0.377,3.623,"FAO","Panulirus spp","Neis",43,-951439.352,171.696,13883.656,0.04,10350.151,51091729.28,0.188,NA,NA,NA,NA
"27","Other nei","10131-FAO",2016,"Blue shark",745.788,7.913,0.99,0.777,"FAO","Prionace glauca","Species",38,3030.01,10.293,740.373,0.014,1884.294,1042572.477,0.188,NA,NA,NA,NA
"28","Other nei","10132-FAO",2016,"Blue shark",3787.152,154.038,0.629,2.954,"FAO","Prionace glauca","Species",38,-15278.126,82.924,740.373,0.014,15055.316,8309372.798,0.188,NA,NA,NA,NA
"29","Benin","1016-FAO",2016,"African sicklefish",91.364,12.036,0.357,3.439,"FAO","Drepane africana","Species",33,-20105.401,9.806,1530.914,0.038,639.916,537270.928,0.188,NA,NA,NA,NA
"30","Pakistan","10196-FAO",2016,"Anchovies, etc. nei",62230.556,6693.101,0.562,1.65,"FAO","Engraulidae","Neis",35,-377975.567,7214.17,869.746,0.065,471095.617,112621060.9,0.188,NA,NA,NA,NA
"31","Pakistan","10198-FAO",1999,"Barramundi(=Giant seaperch)",8608.615,204,0.841,0.608,"FAO","Lates calcarifer","Species",25,90357.264,398.857,791.739,0.039,25585.481,9228150.74,0.188,NA,NA,NA,NA
"32","Pakistan","10200-FAO",2016,"Bombay-duck",531.109,61.235,0.695,1.135,"FAO","Harpadon nehereus","Species",33,21521.596,77.611,1530.914,0.102,1910.941,1197622.996,0.188,NA,NA,NA,NA
"33","Pakistan","10207-FAO",2016,"Croakers, drums nei",201385.716,22807.81,0.519,2.76,"FAO","Sciaenidae","Neis",33,-9883082.575,15907.752,1254.99,0.041,31988.715,651924702.7,0.188,NA,NA,NA,NA
"34","Pakistan","10209-FAO",2016,"Dorab wolf-herring",19541.065,1259.721,0.628,1.725,"FAO","Chirocentrus dorab","Species",35,12544.688,1162.504,291.45,0.037,77754.823,12520343.79,0.188,NA,NA,NA,NA
"35","Pakistan","10210-FAO",2016,"Emperors(=Scavengers) nei",2396.648,376.243,0.403,3.734,"FAO","Lethrinidae","Neis",33,-516990.753,249.883,1530.914,0.042,3232.324,12210602.44,0.188,NA,NA,NA,NA
"36","Pakistan","10212-FAO",2016,"Fourfinger threadfin",5344.177,232.027,0.528,1.107,"FAO","Eleutheronema tetradactylum","Species",33,-2217.466,396.796,1530.914,0.039,25303.357,21097793.45,0.188,NA,NA,NA,NA
"37","Pakistan","10214-FAO",2016,"Giant tiger prawn",1429.362,170.292,0.566,3.021,"FAO","Penaeus monodon","Species",45,8699.532,99.673,3336.556,0.039,6318.192,8890460.357,0.188,NA,NA,NA,NA
"38","Pakistan","10215-FAO",1998,"Greater lizardfish",214.293,22,0.721,0.94,"FAO","Saurida tumbil","Species",33,16718.065,32.442,1833.536,0.109,742.747,455446.088,0.188,NA,NA,NA,NA
"39","Pakistan","10216-FAO",2016,"Groupers nei",94839.665,12887.969,0.524,3.32,"FAO","Epinephelus spp","Neis",33,-14780730.16,7407.333,2803.109,0.041,8391.131,682006857.3,0.188,NA,NA,NA,NA
"40","Pakistan","10218-FAO",2016,"Guitarfishes, etc. nei",1501.78,250.56,0.639,3.999,"FAO","Rhinobatidae","Neis",38,-25405.015,97.977,458.16,0.042,31653.191,1437990.028,0.188,NA,NA,NA,NA
"41","Pakistan","10222-FAO",2016,"Indian oil sardine",245948.932,18788.127,0.624,1.912,"FAO","Sardinella longiceps","Species",35,-17056.945,15753.174,244.852,0.04,985976.113,130750576.8,0.188,NA,NA,NA,NA
"42","Pakistan","10226-FAO",2016,"Largehead hairtail",458364.521,52363.477,1.664,1.025,"FAO","Trichiurus lepturus","Species",34,24913408.34,30696.85,691.549,0.111,688698.795,189608381.5,0.188,NA,NA,NA,NA
"43","Pakistan","10228-FAO",2016,"Mangrove red snapper",20534.114,1535.064,0.584,1.911,"FAO","Lutjanus argentimaculatus","Species",33,-309193.394,1374.697,2839.754,0.039,87852.251,135963463.9,0.188,NA,NA,NA,NA
"44","Pakistan","10229-FAO",2016,"Marine crabs nei",171383.96,13029.308,0.819,1.777,"FAO","Brachyura","Neis",42,9356793.706,8956.569,2848.514,0.041,36803.342,826669689.9,0.188,NA,NA,NA,NA
