"","Country","assess_id_short","Year","CommName","Biomass","Catch","BvBmsy","FvFmsy","Dbase","SciName","IdLevel","SpeciesCat.x","Profits","MSY","Price","g","k","c","phi","itq","ivq","iq","turf"
"1","India","265-SOFIA",2012,"Kelee shad",61897.897,14000,0.401,2.19,"SOFIA","Hilsa kelee","Species",24,-5053403.721,15955.547,1005.454,0.103,386330.59,132105715.5,0.188,NA,NA,NA,NA
"2","Australia","502-SOFIA",2012,"Mackerel icefish",2435.223,500,0.4,5.051,"SOFIA","Champsocephalus gunnari","Species",34,-511972.201,247.425,1368.908,0.041,15216.188,9369692.936,0.188,NA,NA,NA,NA
"3","New Zealand","552-SOFIA",2012,"Barracudas NEI",2514.014,0,1.001,0,"SOFIA","Sphyraena spp","Species",37,0,103.402,993.596,0.041,6281.433,1380489.818,0.188,NA,NA,NA,NA
"4","Spain","558-SOFIA",2012,"Various squids NEI",1683.609,500,1,7.438,"SOFIA","Loliginidae, Ommastrephidae","Species",57,148707.792,67.191,1384.735,0.04,4207.412,2634995.5,0.188,NA,NA,NA,NA
"5","Norway","10000-FAO",2012,"Red king crab",24870.496,1437,1.07,1.435,"FAO","Paralithodes camtschaticus","Species",44,8414700.6,935.995,8942.645,0.04,58129.431,180582577.1,0.188,NA,NA,NA,NA
"6","Norway","10013-FAO",2012,"Sea trout",126.541,3,1.154,0.578,"FAO","Salmo trutta","Species",23,8818.496,4.494,4299.216,0.041,274.073,528702.282,0.188,NA,NA,NA,NA
"7","Norway","10027-FAO",2012,"Turbot",625.155,50,0.814,1.96,"FAO","Psetta maxima","Species",31,193316.685,31.348,6955.084,0.041,1920.543,4119798.737,0.188,NA,NA,NA,NA
"8","Norway","10037-FAO",2012,"Witch flounder",2366.346,51,0.726,1.676,"FAO","Glyptocephalus cynoglossus","Species",31,64792.065,41.901,2418.449,0.013,8144.506,8589714.798,0.188,NA,NA,NA,NA
"9","Oman","10079-FAO",2012,"Pharaoh cuttlefish",367407.654,6530,1.845,0.264,"FAO","Sepia pharaonis","Species",57,7583659.436,13426.996,1376.471,0.067,497761.429,264781200.6,0.188,NA,NA,NA,NA
"10","Other nei","10131-FAO",2012,"Blue shark",728.476,5,0.967,0.503,"FAO","Prionace glauca","Species",38,2828.063,10.293,886.725,0.014,1884.294,1042572.477,0.188,NA,NA,NA,NA
"11","Other nei","10132-FAO",2012,"Blue shark",4112.644,160,0.683,2.825,"FAO","Prionace glauca","Species",38,19817.863,82.924,886.725,0.014,15055.316,8309372.798,0.188,NA,NA,NA,NA
"12","Benin","1016-FAO",2012,"African sicklefish",142.649,35,0.557,6.405,"FAO","Drepane africana","Species",33,-22309.891,9.806,1833.536,0.038,639.916,537270.928,0.188,NA,NA,NA,NA
"13","Pakistan","10200-FAO",2012,"Bombay-duck",451.453,45,0.591,0.982,"FAO","Harpadon nehereus","Species",33,22736.771,77.611,1833.536,0.102,1910.941,1197622.996,0.188,NA,NA,NA,NA
