SpeciesCat,SciName
11,Cycleptus elongatus
11,Deltistes luxatus
11,Catostomus catostomus
11,Catostomus commersoni
11,Catostomus latipinnis
11,Catostomus macrocheilus
11,Catostomus tahoensis
11,Moxostoma congestum
11,Moxostoma erythrurum
11,Moxostoma macrolepidotum
11,Lagochila lacera
11,Ictiobus cyprinellus
11,Ictiobus spp
11,Myxocyprinus asiaticus
11,Carpiodes carpio
11,Xyrauchen texanus
11,Chasmistes cujus
11,Minytrema melanops
11,Erimyzon sucetta
11,Hypentelium nigricans
11,Catostomidae
11,Abramis brama
11,Abramis spp
11,Cyprinus carpio
11,Cyprinus pellegrini
11,Aaptosyax grypus
11,Abbottina rivularis
11,Acanthalburnus microlepis
11,Tinca tinca
11,Acapoeta tanganicae
11,Alburnus alburnus
11,Alburnus albidus
11,Barbus barbus
11,Barbus meridionalis
11,Barbus canis
11,Barbus aeneus
11,Barbus capensis
11,Barbus haasi
11,Barbus holotaenia
11,Barbus johnstonii
11,Barbus macrotaenia
11,Barbus neumayeri
11,Barbus longiceps
11,Barbus plebejus
11,Barbus altianalis
11,Barbus altidorsalis
11,Barbus bynni
11,Barbus callensis
11,Barbus eurystomus
11,Barbus lineomaculatus
11,Barbus unitaeniatus
11,Barbus paludinosus
11,Barbus perince
11,Barbus mattozi
11,Barbus marequensis
11,Barbus trimaculatus
11,Barbus tropidolepis
11,Barbus cyclolepis
11,Chondrostoma nasus
11,Chondrostoma toxostoma
11,Chondrostoma polylepis
11,Chondrostoma soetta
11,Chondrostoma genei
11,Agosia chrysogaster
11,Carassius carassius
11,Carassius auratus
11,Carassius cuvieri
11,Carassius gibelio
11,Carassius spp
11,Gobio gobio
11,Gobio albipinnatus
11,Rutilus rutilus
11,Rutilus frisii
11,Rutilus rubilio
11,Rutilus alburnoides
11,Rutilus lemmingii
11,Rutilus caspicus
11,Rutilus spp
11,Scardinius erythrophthalmus
11,Leuciscus idus
11,Leuciscus cephaloides
11,Leuciscus leuciscus
11,Leuciscus borysthenicus
11,Leuciscus cephalus
11,Leuciscus polylepis
11,Leuciscus pyrenaicus
11,Leuciscus souffia
11,Leuciscus schmidti
11,Leuciscus bergi
11,Leuciscus baicalensis
11,Leuciscus spp
11,Rhodeus amarus
11,Rhodeus ocellatus
11,Rhodeus sericeus
11,Tribolodon taczanowskii
11,Tribolodon hakonensis
11,Tribolodon brandtii
11,Labeo angra
11,Labeo ariza
11,Labeo bata
11,Labeo boga
11,Labeo calbasu
11,Labeo dero
11,Labeo dussumieri
11,Labeo fimbriatus
11,Labeo gonius
11,Labeo kontius
11,Labeo microphthalmus
11,Labeo nandina
11,Labeo pangusia
11,Labeo rohita
11,Labeo sindensis
11,Labeo altivelis
11,Labeo coubie
11,Labeo cylindricus
11,Labeo darlingi
11,Labeo forskalii
11,Labeo fuelleborni
11,Labeo horie
11,Labeo mesops
11,Labeo niloticus
11,Labeo victorianus
11,Labeo capensis
11,Labeo dyocheilus
11,Labeo rosae
11,Labeo umbratus
11,Labeo chrysophekadion
11,Labeo spp
11,Cirrhinus cirrhosus
11,Cirrhinus molitorella
11,Cirrhinus mrigala
11,Cirrhinus reba
11,Cirrhinus microlepis
11,Algansea lacustris
11,Aspidoparia jaya
11,Aspidoparia morar
11,Albulichthys albuloides
11,Catla catla
11,Catlocarpio siamensis
11,Chagunius chagunio
11,Chela cachius
11,Chela laubuca
11,Crossocheilus latius
11,Ctenopharyngodon idellus
11,Cyclocheilichthys enoplos
11,Cyclocheilichthys apogon
11,Cyclocheilichthys dumerilii
11,Cyclocheilichthys armatus
11,Danio aequipinnatus
11,Danio dangila
11,Danio devario
11,Danio rerio
11,Danio frankei
11,Alburnoides bipunctatus
11,Gila nigrescens
11,Gila atraria
11,Gila bicolor
11,Gila cypha
11,Gila elegans
11,Gila robusta
11,Hampala dispar
11,Hampala macrolepidota
11,Hampala salweenensis
11,Hypophthalmichthys molitrix
11,Hypophthalmichthys nobilis
11,Hypophthalmichthys spp
11,Labiobarbus leptocheilus
11,Labiobarbus festivus
11,Labiobarbus fasciatus
11,Labiobarbus ocellatus
11,Labiobarbus siamensis
11,Amblyrhynchichthys truncatus
11,Anabarilius polylepis
11,Anabarilius grahami
11,Notemigonus crysoleucas
11,Osteochilus hasselti
11,Osteochilus melanopleurus
11,Osteochilus spilurus
11,Pogonichthys macrolepidotus
11,Probarbus jullieni
11,Ptychocheilus grandis
11,Rasbora daniconius
11,Rasbora elanga
11,Rasbora heteromorpha
11,Rasbora rasbora
11,Rasbora argyrotaenia
11,Rasbora einthovenii
11,Rasbora elegans
11,Rasbora tawarensis
11,Thynnichthys sandkhol
11,Thynnichthys thynnoides
11,Thynnichthys vaillanti
11,Tor tambroides
11,Tor putitora
11,Tor tor
11,Tor khudree
11,Tor douronensis
11,Tor soro
11,Tor tambra
11,Barilius barila
11,Barilius barna
11,Barilius bola
11,Barilius shacra
11,Barilius tileo
11,Barilius vagra
11,Barilius bakeri
11,Barilius bendelisis
11,Brachydanio acuticephala
11,Notropis atherinoides
11,Notropis bairdi
11,Notropis boops
11,Notropis dorsalis
11,Notropis girardi
11,Notropis heterodon
11,Notropis heterolepis
11,Notropis hudsonius
11,Notropis longirostris
11,Notropis lutipinnis
11,Notropis nubilus
11,Notropis rubellus
11,Notropis rupestris
11,Notropis signipinnis
11,Notropis stramineus
11,Notropis texanus
11,Notropis volucellus
11,Hemibarbus labeo
11,Hemibarbus maculatus
11,Rohtee ogilbii
11,Amblypharyngodon microlepis
11,Amblypharyngodon mola
11,Amblypharyngodon melettinus
11,Rastrineobola argentea
11,Acanthobrama lissneri
11,Acanthobrama terraesanctae
11,Pimephales promelas
11,Hesperoleucus symmetricus
11,Parabramis pekinensis
11,Squaliobarbus curriculus
11,Culter alburnus
11,Zacco platypus
11,Zacco taliensis
11,Anaecypris hispanica
11,Garra dembeensis
11,Garra ghorensis
11,Garra gotyla
11,Garra lamta
11,Garra mullya
11,Garra rufa
11,Garra tibanica
11,Opsariichthys bidens
11,Pseudogobio esocinus
11,Rhinichthys atratulus
11,Rhinichthys cataractae
11,Rhinichthys osculus
11,Nocomis biguttatus
11,Nocomis leptocephalus
11,Nocomis micropogon
11,Cyprinella alvarezdelvillari
11,Cyprinella analostana
11,Cyprinella callistia
11,Cyprinella camura
11,Cyprinella lutrensis
11,Cyprinella proserpina
11,Cyprinella spiloptera
11,Cyprinella venusta
11,Acheilognathus limbatus
11,Acheilognathus melanogaster
11,Acheilognathus rhombeus
11,Acheilognathus tabira
11,Aphyocypris chinensis
11,Hybognathus placitus
11,Chelaethiops bibie
11,Dionda diaboli
11,Dionda episcopa
11,Aspiolucius esocinus
11,Vimba vimba
11,Vimba melanops
11,Couesius plumbeus
11,Semotilus atromaculatus
11,Pelecus cultratus
11,Sarcocheilichthys nigripinnis
11,Typhlogarra widdowsoni
11,Tanichthys albonubes
11,Campostoma anomalum
11,Campostoma oligolepis
11,Aulopyge huegelii
11,Orthodon microlepidotus
11,Lavinia exilicauda
11,Plagopterus argentissimus
11,Iotichthys phlegethontis
11,Phenacobius catostomus
11,Evarra bustamantei
11,Aspius aspius
11,Clinostomus elongatus
11,Balantiocheilos melanopterus
11,Moroco steindachneri
11,Mandibularca resinus
11,Chalcalburnus chalcoides
11,Chalcalburnus tarichi
11,Acanthorhodeus asmussii
11,Pseudorasbora parva
11,Bangana behri
11,Bangana yunnanensis
11,Bangana dero
11,Barbichthys nitidus
11,Barbodes balleroides
11,Barbodes platysoma
11,Leptobarbus hoeveni
11,Acrocheilus alutaceus
11,Hemiculter leucisculus
11,Barboides gracilis
11,Barbopsis devecchii
11,Tanakia tanago
11,Biwia zezera
11,Pseudaspius leptocephalus
11,Boraras brigittae
11,Caecobarbus geertsii
11,Caecocypris basimi
11,Mylopharyngodon piceus
11,Capoeta capoeta
11,Capoeta damascina
11,Luxilus chrysocephalus
11,Luxilus cornutus
11,Oregonichthys crameri
11,Gnathopogon caerulescens
11,Gnathopogon elongatus
11,Megalobrama amblycephala
11,Megalobrama terminalis
11,Mylocheilus caurinus
11,Lepidomeda vittata
11,Diptychus maculatus
11,Ptychobarbus conirostris
11,Schizopygopsis pylzovi
11,Tiaroga cobitis
11,Puntius binotatus
11,Puntius amphibius
11,Puntius arulius
11,Puntius conchonius
11,Puntius filamentosus
11,Puntius orphoides
11,Puntius sophore
11,Puntius tetrazona
11,Puntius ticto
11,Puntius lateristriga
11,Puntius spp
11,Capoetobrama kuschakewitschi
11,Carassioides cantonensis
11,Cephalakompsus pachycheilus
11,Chanodichthys dabryi
11,Chanodichthys erythropterus
11,Chanodichthys mongolicus
11,Coptostomabarbus bellcrossi
11,Coreoleuciscus splendidus
11,Cosmochilus cardinalis
11,Cyprinion watsoni
11,Danionella translucida
11,Discherodontus ashmeadi
11,Distoechodon tumirostris
11,Eirmotus octozona
11,Elopichthys bambusa
11,Engraulicypris sardella
11,Epalzeorhynchos bicolor
11,Epalzeorhynchos kalopterus
11,Eremichthys acros
11,Erimystax dissimilis
11,Esomus danricus
11,Eupallasella perenurus
11,Exoglossum maxillingua
11,Gobiobotia brevibarba
11,Gymnocypris biswasi
11,Hemigrammocapoeta kemali
11,Hemigrammocypris lini
11,Hemitremia flammea
11,Henicorhynchus caudimaculatus
