SciName,Country,i_right,turf,SpeciesCat
Adelomelon ancilla,Chile,0,1,58
Allocyttus niger,New Zealand,1,0,34
Ammodytes personatus,Japan,0,1,33
Anadara antiquat,Fiji,0,1,56
Anadara similis,Ecuador,0,1,56
Anadara tuberculos,Ecuador,0,1,56
Anchovies spp,Netherlands,0,1,35
Anguilla anguilla,Greece,0,1,22
Anodontostoma chacunda,Philippines,0,1,24
Anoplopoma fimbria,United States,1,0,34
Arctoscopus japonicus,Japan,0,1,34
Argobuccinum argus,Chile,0,1,52
Argobuccinum spp,Chile,0,1,52
Argopecten purpuratus,Chile,0,1,55
Astraea turbanica,Mexico,0,1,58
Astraea undosa,Mexico,0,1,58
Atherinidae,Philippines,0,1,37
Athyionidium chilensis,Chile,0,1,77
Atrina tuberculosa,Mexico,0,1,55
Aulacomya ater,Chile,0,1,54
Austromegabalanus psittacus,Chile,0,1,47
Balistes polylepis,Mexico,0,1,33
Birgus latro,Vanuatu,0,1,44
Brama australis,Chile,0,1,37
Callinectes bellicosus,Mexico,0,1,42
Callinectes sapidus,United States,0,1,42
Callista chione,Italy,0,1,56
Calyptraea trochiformis,Chile,0,1,58
Cancer coronatus,Chile,0,1,42
Cancer setosus,Chile,0,1,42
Centroberyx gerrardi,Australia,1,0,34
Centropomidae,Philippines,0,1,33
Chamelea gallina,Italy,0,1,56
Chionoecetes bairdi,United States,1,0,42
Chionoecetes japonicus,Japan,0,1,42
Chionoecetes opilio,United States,1,0,42
Chionoecetes opilio,Canada,0,1,42
Chlamys vitrea,Chile,0,1,55
Chondracanthus chamissoi,Chile,0,1,92
Choromytilus chorus,Chile,0,1,54
Chorus giganteus,Chile,0,1,52
Chrysophrys auratus,Australia,1,0,33
Chrysophrys auratus,New Zealand,1,0,33
Clam spp,United States,0,1,56
Clam spp,Japan,0,1,56
Clam spp,Netherlands,0,1,56
Clam spp,Vanuatu,0,1,56
Cololabis saira,Japan,0,1,37
Concholepas concholepas,Chile,0,1,52
Conger conger,France,0,1,34
Crassostrea gigas,United Kingdom,0,1,53
Cypraea tigris,Fiji,0,1,58
Dentex dentex,France,0,1,33
Dicentrarchus labrax,France,0,1,33
Dicentrarchus labrax,Greece,0,1,33
Diplodus spp,France,0,1,33
Dissostichus eleginoides,Australia,1,0,34
Donax trunculus,Italy,0,1,56
Engraulis ringens,Peru,1,0,35
Ensis macha,Chile,0,1,56
Ensis minor,Italy,0,1,57
Enteroctopus megalocyathus,Chile,0,1,57
Eopsetta jordani,United States,1,0,31
Epigonus telescopus,New Zealand,1,0,34
Epinephelus flavolimbatus,United States,1,0,33
Epinephelus morio,United States,1,0,33
Fissurella bridgesii,Chile,0,1,58
Fissurella costata,Chile,0,1,58
Fissurella cumingi,Chile,0,1,58
Fissurella latimarginata,Chile,0,1,58
Fissurella maxima,Chile,0,1,58
Fissurella nigra,Chile,0,1,58
Fissurella picta,Chile,0,1,58
Fissurella pulchra,Chile,0,1,58
Fissurella spp,Chile,0,1,58
Gadus macrocephalus,United States,1,0,32
Gari solida,Chile,0,1,56
Genypterus blacodes,New Zealand,1,0,34
Genypterus blacodes,Australia,1,0,34
Gerres filamentosus,Vietnam,0,1,33
Gigartina skottsbergii,Chile,0,1,92
Glossogobius giuris,Vietnam,0,1,13
Gracilaria chilensis,Chile,0,1,92
Haliotis corrugata,Mexico,0,1,52
Haliotis discus,Japan,0,1,52
Haliotis fulgens,Mexico,0,1,52
Haliotis ruber,Japan,0,1,52
Haliotis rufescens,Chile,0,1,52
Haliotis spp,Japan,0,1,52
Hippoglossoides elassodon,United States,1,0,31
Holothurian,Fiji,0,1,58
Homalaspis plana,Chile,0,1,42
Hoplostethus atlanticus,Australia,1,0,34
Hyperoglyphe antarctica,New Zealand,1,0,34
Japanese oysters,Netherlands,0,1,53
Jasus edwardsii,New Zealand,1,0,43
Jasus edwardsii,Australia,1,0,43
Kathetostoma giganteum,New Zealand,1,0,34
Lambis lambis,Fiji,0,1,52
Latidae,Philippines,0,1,13
Lenthrinus harak,Fiji,0,1,33
Lepidopsetta polyxystra,United States,1,0,31
Lethrinus atsinkoni,Fiji,0,1,33
Limanda aspera,United States,1,0,31
Lithodes antarctica,Chile,0,1,42
Liza aurata,Greece,0,1,33
Liza ramada,Greece,0,1,33
Liza saliens,Greece,0,1,33
Lopholatilus chamaeleonticeps,United States,1,0,34
Loxechinus albus,Chile,0,1,76
Lutjanid spp,Philippines,0,1,33
Mackerel,Netherlands,0,1,37
Macrocystis integrifolia,Chile,0,1,91
Macruronus magellanicus,Argentina,1,0,32
Macruronus novaezelandiae,Australia,1,0,32
Maja squinado,Spain,0,1,42
Meretrix lyrata,Vietnam,0,1,56
Meretrix lusoria,Japan,0,1,56
Merluccius hubbsi,Argentina,1,0,32
Merluccius merluccius,France,0,1,32
Mesodesma donacium,Chile,0,1,56
Metacarcinus magister,United States,0,1,42
Metapenaeus dobsoni,Sri Lanka,0,1,45
Metapenaeus dobsoni,India,0,1,45
Metapenaeus endeavours,Australia,0,1,45
Metapenaeus ensis,Vietnam,0,1,45
Metapenaeus monoceros,India,0,1,45
Metapenaeus moyebi,Sri Lanka,0,1,45
Micromesistius australis,Argentina,1,0,32
Microstomus pacificus,United States,1,0,31
Mugil cephalus,Greece,0,1,33
Mugilidae spp.,France,0,1,33
Mulinia edulis,Chile,0,1,56
Mulinia spp,Chile,0,1,56
Mullet spp,Netherlands,0,1,33
Mullus barbatus,France,0,1,33
Mullus surmuletus,France,0,1,33
Mycteroperca bonaci,United States,1,0,33
Mycteroperca microlepis,United States,1,0,33
Mycteroperca rosacea,Mexico,0,1,33
Mytilus chilensis,Chile,0,1,54
Mytilus edulis,United Kingdom,0,1,54
Necora puber,Spain,0,1,42
Nemadactylus macropterus,New Zealand,1,0,34
Nemadactylus macropterus,Australia,1,0,34
Neoplatycephalus richardsoni,Australia,1,0,33
Normanichthys crockeri,Chile,0,1,33
Octopus mimus,Chile,0,1,57
Octopus spp,Vanuatu,0,1,57
Octopus vulgaris,Spain,0,1,57
Odontocymbiola magallanica,Chile,0,1,58
Oncorhynchus gorbuscha,United States,0,1,23
Oncorhynchus keta,United States,0,1,23
Oncorhynchus kisutch,United States,0,1,23
Oncorhynchus mykiss,United States,0,1,23
Oncorhynchus nerka,United States,0,1,23
Oncorhynchus tshawytscha,United States,0,1,23
Ophiodon elongatus,United States,1,0,33
Opisthonema oglinum,Chile,0,1,35
Ostrea edulis,United Kingdom,0,1,53
Oyster spp,United States,0,1,53
Oyster spp,United Kingdom,0,1,53
Penaeus indicus,India,0,1,45
Pagellus spp,France,0,1,33
Pagrus pagrus,France,0,1,33
Palaemon serratus,Spain,0,1,45
Palinurus elephas,France,0,1,43
Pandalus borealis,Sweden,0,1,45
Panopea generosa,United States,0,1,56
Panopea globosa,Mexico,0,1,58
Panulirus argus,Belize,0,1,43
Panulirus argus,Mexico,0,1,43
Panulirus interruptus,Mexico,0,1,43
Panulirus spp,Belize,0,1,43
Papustyla pulcherrima,Vanuatu,0,1,58
Paracentrotus lividus,Spain,0,1,76
Paralabrax maculatofasciatus_,Mexico,0,1,33
Paralichthys dentatus,United States,1,0,31
Paralithodes camtschaticus,United States,1,0,44
Paralomis granulosa,Chile,0,1,44
Parophrys vetulus,United States,1,0,31
Pattalus mollis,Chile,0,1,77
Pecten maximus,Chile,0,1,55
Penaeus esculentus,Australia,0,1,45
Penaeus indicus,Sri Lanka,0,1,45
Penaeus indicus,India,0,1,45
Penaeus latisulcatus,Australia,0,1,45
