SciName,Country,i_right,turf,SpeciesCat
Adelomelon ancilla,Chile,FALSE,TRUE,58
Allocyttus niger,New Zealand,TRUE,FALSE,34
Ammodytes personatus,Japan,FALSE,TRUE,33
Anadara antiquat,Fiji,FALSE,TRUE,56
Anadara similis,Ecuador,FALSE,TRUE,56
Anadara tuberculos,Ecuador,FALSE,TRUE,56
Anchovies spp,Netherlands,FALSE,TRUE,35
Anguilla anguilla,Greece,FALSE,TRUE,22
Anodontostoma chacunda,Philippines,FALSE,TRUE,24
Anoplopoma fimbria,United States,TRUE,FALSE,34
Arctoscopus japonicus,Japan,FALSE,TRUE,34
Argobuccinum argus,Chile,FALSE,TRUE,52
Argobuccinum spp,Chile,FALSE,TRUE,52
Argopecten purpuratus,Chile,FALSE,TRUE,55
Astraea turbanica,Mexico,FALSE,TRUE,58
Astraea undosa,Mexico,FALSE,TRUE,58
Atherinidae,Philippines,FALSE,TRUE,37
Athyionidium chilensis,Chile,FALSE,TRUE,77
Atrina tuberculosa,Mexico,FALSE,TRUE,55
Aulacomya ater,Chile,FALSE,TRUE,54
Austromegabalanus psittacus,Chile,FALSE,TRUE,47
Balistes polylepis,Mexico,FALSE,TRUE,33
Birgus latro,Vanuatu,FALSE,TRUE,44
Brama australis,Chile,FALSE,TRUE,37
Callinectes bellicosus,Mexico,FALSE,TRUE,42
Callinectes sapidus,United States,FALSE,TRUE,42
Callista chione,Italy,FALSE,TRUE,56
Calyptraea trochiformis,Chile,FALSE,TRUE,58
Cancer coronatus,Chile,FALSE,TRUE,42
Cancer setosus,Chile,FALSE,TRUE,42
Centroberyx gerrardi,Australia,TRUE,FALSE,34
Centropomidae,Philippines,FALSE,TRUE,33
Chamelea gallina,Italy,FALSE,TRUE,56
Chionoecetes bairdi,United States,TRUE,FALSE,42
Chionoecetes japonicus,Japan,FALSE,TRUE,42
Chionoecetes opilio,United States,TRUE,FALSE,42
Chionoecetes opilio,Canada,FALSE,TRUE,42
Chlamys vitrea,Chile,FALSE,TRUE,55
Chondracanthus chamissoi,Chile,FALSE,TRUE,92
Choromytilus chorus,Chile,FALSE,TRUE,54
Chorus giganteus,Chile,FALSE,TRUE,52
Chrysophrys auratus,Australia,TRUE,FALSE,33
Chrysophrys auratus,New Zealand,TRUE,FALSE,33
Clam spp,United States,FALSE,TRUE,56
Clam spp,Japan,FALSE,TRUE,56
Clam spp,Netherlands,FALSE,TRUE,56
Clam spp,Vanuatu,FALSE,TRUE,56
Cololabis saira,Japan,FALSE,TRUE,37
Concholepas concholepas,Chile,FALSE,TRUE,52
Conger conger,France,FALSE,TRUE,34
Crassostrea gigas,United Kingdom,FALSE,TRUE,53
Cypraea tigris,Fiji,FALSE,TRUE,58
Dentex dentex,France,FALSE,TRUE,33
Dicentrarchus labrax,France,FALSE,TRUE,33
Dicentrarchus labrax,Greece,FALSE,TRUE,33
Diplodus spp,France,FALSE,TRUE,33
Dissostichus eleginoides,Australia,TRUE,FALSE,34
Donax trunculus,Italy,FALSE,TRUE,56
Engraulis ringens,Peru,TRUE,FALSE,35
Ensis macha,Chile,FALSE,TRUE,56
Ensis minor,Italy,FALSE,TRUE,57
Enteroctopus megalocyathus,Chile,FALSE,TRUE,57
Eopsetta jordani,United States,TRUE,FALSE,31
Epigonus telescopus,New Zealand,TRUE,FALSE,34
Epinephelus flavolimbatus,United States,TRUE,FALSE,33
Epinephelus morio,United States,TRUE,FALSE,33
Fissurella bridgesii,Chile,FALSE,TRUE,58
Fissurella costata,Chile,FALSE,TRUE,58
Fissurella cumingi,Chile,FALSE,TRUE,58
Fissurella latimarginata,Chile,FALSE,TRUE,58
Fissurella maxima,Chile,FALSE,TRUE,58
Fissurella nigra,Chile,FALSE,TRUE,58
Fissurella picta,Chile,FALSE,TRUE,58
Fissurella pulchra,Chile,FALSE,TRUE,58
Fissurella spp,Chile,FALSE,TRUE,58
Gadus macrocephalus,United States,TRUE,FALSE,32
Gari solida,Chile,FALSE,TRUE,56
