SciName,Country,programstart,itq_now,iq,itq,ivq,turf,SpeciesCat
Glossogobius giuris,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,13
Latidae,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,13
Anguilla anguilla,Greece,NA,0,FALSE,FALSE,FALSE,TRUE,22
Oncorhynchus gorbuscha,United States,NA,0,FALSE,FALSE,FALSE,TRUE,23
Oncorhynchus keta,United States,NA,0,FALSE,FALSE,FALSE,TRUE,23
Oncorhynchus kisutch,United States,NA,0,FALSE,FALSE,FALSE,TRUE,23
Oncorhynchus mykiss,United States,NA,0,FALSE,FALSE,FALSE,TRUE,23
Oncorhynchus nerka,United States,NA,0,FALSE,FALSE,FALSE,TRUE,23
Oncorhynchus tshawytscha,United States,NA,0,FALSE,FALSE,FALSE,TRUE,23
Anodontostoma chacunda,Philippines,NA,0,FALSE,FALSE,FALSE,TRUE,24
Eopsetta jordani,USA,2011,0,FALSE,TRUE,FALSE,FALSE,31
Glyptocephalus cynoglossus,USA,2010,0,FALSE,FALSE,FALSE,FALSE,31
Glyptocephalus cynoglossus,USA,2010,1,FALSE,FALSE,FALSE,FALSE,31
Glyptocephalus zachirus,USA,2007,0,FALSE,FALSE,FALSE,FALSE,31
Hippoglossoides elassodon,USA,2005,1,FALSE,TRUE,FALSE,FALSE,31
Hippoglossoides elassodon,USA,2005,0,FALSE,TRUE,FALSE,FALSE,31
Lepidopsetta polyxystra,USA,2005,0,FALSE,TRUE,FALSE,FALSE,31
Limanda aspera,USA,2005,0,FALSE,TRUE,FALSE,FALSE,31
Limanda aspera,USA,2005,1,FALSE,TRUE,FALSE,FALSE,31
Limanda ferruginea,USA,2010,1,FALSE,FALSE,FALSE,FALSE,31
Limanda ferruginea,USA,2010,0,FALSE,FALSE,FALSE,FALSE,31
Microstomus pacificus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,31
Microstomus pacificus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,31
Paralichthys dentatus,USA,2005,1,FALSE,TRUE,FALSE,FALSE,31
Paralichthys dentatus,USA,2005,0,FALSE,TRUE,FALSE,FALSE,31
Parophrys vetulus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,31
Platichthys stellatus,USA,2011,1,FALSE,TRUE,FALSE,FALSE,31
Platichthys stellatus,USA,2011,0,FALSE,TRUE,FALSE,FALSE,31
Pseudopleuronectes americanus,USA,2010,0,FALSE,FALSE,FALSE,FALSE,31
Pseudopleuronectes americanus,USA,2010,1,FALSE,FALSE,FALSE,FALSE,31
Reinhardtius stomias,USA,2011,0,FALSE,TRUE,FALSE,FALSE,31
Reinhardtius stomias,USA,1992,0,FALSE,FALSE,FALSE,FALSE,31
Solea aegyptiaca,France,NA,0,FALSE,FALSE,FALSE,TRUE,31
Solea solea,France,NA,0,FALSE,FALSE,FALSE,TRUE,31
Gadus macrocephalus,USA,2005,1,FALSE,TRUE,FALSE,FALSE,32
Gadus macrocephalus,USA,2005,0,FALSE,TRUE,FALSE,FALSE,32
