"","Country","programstart","SciName","turf"
"1","Chile","1991","Haliotis rufescens",TRUE
"2","Chile","1991","Macrocystis pyrifera",TRUE
"3","Chile","1991","Protothaca thaca",TRUE
"4","Chile","1991","Venus antiqua",TRUE
"5","Chile","1991","Normanichthys crockeri",TRUE
"6","Chile","1991","Athyionidium chilensis",TRUE
"7","Chile","1991","Pattalus mollis",TRUE
"8","Chile","1991","Argobuccinum spp",TRUE
"9","Chile","1991","Argobuccinum argus",TRUE
"10","Chile","1991","Adelomelon ancilla",TRUE
"11","Chile","1991","Xanthochorus cassidiformis",TRUE
"12","Chile","1991","Tegula atra",TRUE
"13","Chile","1991","Trophon spp",TRUE
"14","Chile","1991","Chorus giganteus",TRUE
"15","Chile","1991","Lithodes antarctica",TRUE
"16","Chile","1991","Paralomis granulosa",TRUE
"17","Chile","1991","Gelidium spp",TRUE
"18","Chile","1991","Chondracanthus chamissoi",TRUE
"19","Chile","1991","Calyptraea trochiformis",TRUE
"20","Chile","1991","Aulacomya ater",TRUE
"21","Chile","1991","Mytilus chilensis",TRUE
"22","Chile","1991","Choromytilus chorus",TRUE
"23","Chile","1991","Durvillaea antarctica",TRUE
"24","Chile","1991","Scomber japonicus",TRUE
"25","Chile","1991","Gari solida",TRUE
"26","Chile","1991","Semele solida",TRUE
"27","Chile","1991","Loxechinus albus",TRUE
"28","Chile","1991","Perna perna",TRUE
"29","Chile","1991","Macrocystis integrifolia",TRUE
"30","Chile","1991","Lessonia nigrescens",TRUE
"31","Chile","1991","Lessonia trabeculata",TRUE
"32","Chile","1991","Homalaspis plana",TRUE
"33","Chile","1991","Cancer setosus",TRUE
"34","Chile","1991","Cancer coronatus",TRUE
"35","Chile","1991","Sepia bertheloti",TRUE
"36","Chile","1991","Fissurella bridgessi",TRUE
"37","Chile","1991","Fissurella nigra",TRUE
"38","Chile","1991","Fissurella pulchra",TRUE
"39","Chile","1991","Fissurella spp",TRUE
"40","Chile","1991","Fissurella costata",TRUE
"41","Chile","1991","Fissurella latimarginata",TRUE
"42","Chile","1991","Fissurella picta",TRUE
"43","Chile","1991","Fissurella maxima",TRUE
"44","Chile","1991","Fissurella cumingi",TRUE
