Country,current_gdp,SciName,i_right,turf,SpeciesCat
Argentina,20786.67933,Macruronus magellanicus,1,0,32
Argentina,20786.67933,Merluccius hubbsi,1,0,32
Argentina,20786.67933,Micromesistius australis,1,0,32
Australia,48460.04928,Centroberyx gerrardi,1,0,34
Australia,48460.04928,Chrysophrys auratus,1,0,33
Australia,48460.04928,Dissostichus eleginoides,1,0,34
Australia,48460.04928,Genypterus blacodes,1,0,34
Australia,48460.04928,Hoplostethus atlanticus,1,0,34
Australia,48460.04928,Jasus edwardsii,1,0,43
Australia,48460.04928,Macruronus novaezelandiae,1,0,32
Australia,48460.04928,Metapenaeus endeavours,0,1,45
Australia,48460.04928,Nemadactylus macropterus,1,0,34
Australia,48460.04928,Neoplatycephalus richardsoni,1,0,33
Australia,48460.04928,Penaeus esculentus,0,1,45
Australia,48460.04928,Penaeus latisulcatus,0,1,45
Australia,48460.04928,Penaeus merguiensis,0,1,45
Australia,48460.04928,Platycephalus conatus,1,0,33
Australia,48460.04928,Pseudocarcinus gigas,1,0,42
Australia,48460.04928,Rexea solandri,1,0,34
Australia,48460.04928,Seriolella brama,1,0,34
Australia,48460.04928,Seriolella punctata,1,0,34
Australia,48460.04928,Sillago flindersi,1,0,33
Australia,48460.04928,Trachypenaeus sp,0,1,45
Belize,8590.013256,Panulirus argus,0,1,43
Belize,8590.013256,Panulirus spp,0,1,43
Canada,46704.89472,Chionoecetes opilio,0,1,42
Canada,46704.89472,Sebastes pinniger,1,0,34
Chile,24634.97021,Adelomelon ancilla,0,1,58
Chile,24634.97021,Argobuccinum argus,0,1,52
Chile,24634.97021,Argobuccinum spp,0,1,52
Chile,24634.97021,Argopecten purpuratus,0,1,55
Chile,24634.97021,Athyionidium chilensis,0,1,77
Chile,24634.97021,Aulacomya ater,0,1,54
Chile,24634.97021,Austromegabalanus psittacus,0,1,47
Chile,24634.97021,Brama australis,0,1,37
Chile,24634.97021,Calyptraea trochiformis,0,1,58
Chile,24634.97021,Cancer coronatus,0,1,42
Chile,24634.97021,Cancer setosus,0,1,42
Chile,24634.97021,Chlamys vitrea,0,1,55
Chile,24634.97021,Chondracanthus chamissoi,0,1,92
Chile,24634.97021,Choromytilus chorus,0,1,54
Chile,24634.97021,Chorus giganteus,0,1,52
Chile,24634.97021,Concholepas concholepas,0,1,52
Chile,24634.97021,Ensis macha,0,1,56
Chile,24634.97021,Enteroctopus megalocyathus,0,1,57
Chile,24634.97021,Fissurella bridgesii,0,1,58
Chile,24634.97021,Fissurella costata,0,1,58
Chile,24634.97021,Fissurella cumingi,0,1,58
Chile,24634.97021,Fissurella latimarginata,0,1,58
Chile,24634.97021,Fissurella maxima,0,1,58
Chile,24634.97021,Fissurella nigra,0,1,58
Chile,24634.97021,Fissurella picta,0,1,58
Chile,24634.97021,Fissurella pulchra,0,1,58
Chile,24634.97021,Fissurella spp,0,1,58
Chile,24634.97021,Gari solida,0,1,56
Chile,24634.97021,Gigartina skottsbergii,0,1,92
Chile,24634.97021,Gracilaria chilensis,0,1,92
Chile,24634.97021,Haliotis rufescens,0,1,52
Chile,24634.97021,Homalaspis plana,0,1,42
Chile,24634.97021,Lithodes antarctica,0,1,42
Chile,24634.97021,Loxechinus albus,0,1,76
Chile,24634.97021,Macrocystis integrifolia,0,1,91
Chile,24634.97021,Mesodesma donacium,0,1,56
Chile,24634.97021,Mulinia edulis,0,1,56
Chile,24634.97021,Mulinia spp,0,1,56
Chile,24634.97021,Mytilus chilensis,0,1,54
Chile,24634.97021,Normanichthys crockeri,0,1,33
Chile,24634.97021,Octopus mimus,0,1,57
Chile,24634.97021,Odontocymbiola magallanica,0,1,58
Chile,24634.97021,Opisthonema oglinum,0,1,35
Chile,24634.97021,Paralomis granulosa,0,1,44
Chile,24634.97021,Pattalus mollis,0,1,77
Chile,24634.97021,Pecten maximus,0,1,55
